482811688584968,-31.0,57.0,11.0
482811708484916,-34.0,56.0,13.0
482811727365436,-34.0,57.0,11.0
482811748260853,-33.0,55.0,8.0
482811768164082,-35.0,58.0,11.0
482811788107780,-34.0,57.0,12.0
482811807980436,-34.0,58.0,12.0
482811828285124,-33.0,58.0,11.0
482811847748249,-32.0,59.0,10.0
482811867661009,-33.0,58.0,11.0
482811887582155,-32.0,58.0,11.0
482811907473770,-34.0,57.0,11.0
482811926820593,-33.0,56.0,11.0
482811946277259,-34.0,58.0,9.0
482811967153509,-35.0,57.0,7.0
482811987087363,-32.0,59.0,10.0
482812005895957,-31.0,58.0,10.0
482812025903613,-33.0,55.0,10.0
482812046787520,-33.0,54.0,6.0
482812066679968,-33.0,57.0,11.0
482812086682051,-34.0,57.0,9.0
482812106460072,-34.0,55.0,10.0
482812126774655,-31.0,57.0,10.0
482812146274447,-33.0,57.0,10.0
482812166183457,-32.0,57.0,10.0
482812186079811,-33.0,56.0,11.0
482812206088822,-32.0,56.0,10.0
482812226256061,-31.0,57.0,10.0
482812245974915,-30.0,56.0,10.0
482812265810957,-32.0,56.0,9.0
482812285577832,-30.0,55.0,9.0
482812305404082,-31.0,56.0,10.0
482812324356217,-33.0,57.0,12.0
482812344930540,-31.0,55.0,5.0
482812364809447,-33.0,56.0,9.0
482812384790488,-30.0,55.0,9.0
482812403577311,-33.0,55.0,9.0
482812425108040,-34.0,54.0,9.0
482812443656269,-32.0,54.0,8.0
482812463882519,-33.0,54.0,8.0
482812483753144,-34.0,52.0,10.0
482812503817624,-34.0,52.0,8.0
482812523672467,-35.0,54.0,7.0
482812543698509,-35.0,53.0,9.0
482812563767936,-33.0,54.0,9.0
482812583675280,-33.0,53.0,9.0
482812603803874,-34.0,53.0,9.0
482812622910019,-34.0,55.0,9.0
482812643271217,-33.0,53.0,6.0
482812662348405,-33.0,55.0,8.0
482812682335228,-33.0,55.0,10.0
482812702371530,-35.0,54.0,10.0
482812723827936,-34.0,54.0,9.0
482812742369030,-33.0,54.0,9.0
482812762393353,-35.0,56.0,9.0
482812782422676,-34.0,54.0,9.0
482812802357103,-34.0,54.0,9.0
482812822422623,-33.0,54.0,10.0
482812842355488,-34.0,55.0,10.0
482812862436478,-32.0,56.0,9.0
482812881768144,-33.0,55.0,9.0
482812902435280,-34.0,54.0,10.0
482812921418873,-35.0,57.0,9.0
482812942341217,-33.0,51.0,6.0
482812961071373,-33.0,56.0,8.0
482812980657623,-32.0,55.0,8.0
482813002421009,-33.0,56.0,6.0
482813022379811,-34.0,56.0,9.0
482813042306686,-33.0,54.0,11.0
482813062341113,-33.0,56.0,10.0
482813081656790,-30.0,55.0,7.0
482813101609603,-33.0,57.0,12.0
482813122321790,-34.0,57.0,10.0
482813141272832,-33.0,58.0,11.0
482813161161373,-32.0,58.0,10.0
482813181066009,-34.0,55.0,10.0
482813200956269,-31.0,55.0,10.0
482813221263144,-32.0,55.0,8.0
482813239398613,-32.0,56.0,10.0
482813260678613,-33.0,51.0,5.0
482813280555227,-34.0,57.0,10.0
482813300446634,-33.0,55.0,10.0
482813320758144,-33.0,55.0,10.0
482813340255540,-32.0,55.0,9.0
482813360294134,-34.0,55.0,12.0
482813380062155,-33.0,55.0,11.0
482813399948717,-33.0,55.0,9.0
482813420253457,-33.0,55.0,10.0
482813439753092,-32.0,57.0,11.0
482813459654290,-35.0,56.0,12.0
482813479552727,-33.0,56.0,10.0
482813498862519,-33.0,56.0,10.0
482813519752102,-32.0,56.0,10.0
482813539266894,-32.0,56.0,13.0
482813557762988,-34.0,55.0,12.0
482813579066686,-33.0,53.0,6.0
482813598952779,-33.0,55.0,9.0
482813619244394,-33.0,55.0,10.0
482813637429759,-32.0,55.0,10.0
482813657250852,-33.0,55.0,10.0
482813678558769,-32.0,52.0,6.0
482813698453509,-32.0,55.0,10.0
482813717656686,-32.0,55.0,11.0
482813738253456,-32.0,55.0,10.0
482813758140800,-33.0,55.0,10.0
482813778054967,-33.0,58.0,9.0
482813797964394,-32.0,56.0,10.0
482813818249967,-31.0,57.0,8.0
482813837751998,-33.0,55.0,10.0
482813856270956,-33.0,57.0,10.0
482813877549706,-33.0,51.0,5.0
482813897458613,-35.0,55.0,12.0
482813917756113,-34.0,56.0,9.0
482813937245227,-33.0,56.0,10.0
482813957141998,-34.0,55.0,10.0
482813976224133,-32.0,57.0,9.0
